,name,description,id,category
113,Fresh & Chill,Discover your favorite new chill pop songs. Cover: Chelsea Cutler,37i9dQZF1DX5CdVP4rz81C,pop
114,Everyday Favorites ,"Easy listening mix of recent hits, everyday favorites & some new songs you'll love. Cover: George Ezra",37i9dQZF1DWWvoJqVv7uOD,pop
115,Pop Sauce,"before he was Elliot, Dominic Fike had us swooning over his music ",37i9dQZF1DXaPCIWxzZwR1,pop
116,big on the internet,iykyk,37i9dQZF1DX5Vy6DFOcx00,pop
117,Global X,"The sound of a new era. Discover rhythmic crossover hits from cultures around the world! Cover: Lunay, Alok, Juliette, Luis Fonsi, Lenny Tavárez",37i9dQZF1DWUxHPh2rEiHr,pop
118,Monday Spin,"音楽メディア<a href=""http://spincoaster.com/"">Spincoaster</a>が厳選したホットな新曲を毎週月曜日にお届け！",37i9dQZF1DX1L8JuK0yhgO,pop
119,BILLIONS CLUB,Every song with over 1 billion streams on Spotify. Cover: Julia Michaels,37i9dQZF1DX7iB3RCnBnN4,pop
120,Lorem,some beautiful things this week. cover: tobias drayyyyyyyyyyy,37i9dQZF1DXdwmD5Q7Gxah,pop
121,Indie Pop,New and approved indie pop. Cover: Rex Orange County,37i9dQZF1DWWEcRhUVtL8n,pop
122,ピクサー・ヒッツ,感動的なピクサー作品の名曲や主題歌・挿入歌などをいつでも楽しめる、SpotifyとDisneyによる公式プレイリスト！,37i9dQZF1DX427o3s8yLe3,pop
123,hyperpop,hyperpop is a simulation. Cover: ericdoa,37i9dQZF1DX7HOk71GPfSw,pop
124,young & free,"Indie, pop, and everything in between to bring you good energy and good vibes. Cover: chloe moriondo",37i9dQZF1DXca8AyWK6Y7g,pop
125,Singled Out,"If it's buzzing, it's here. The hottest new songs of the week. Cover: Griff & Sigrid ",37i9dQZF1DX8f6LHxMjnzD,pop
126,Retro Pop,Featuring that new vintage. Cover: Jon Batiste,37i9dQZF1DXcTieYAg7jq1,pop
127,Tiger,"Happy New Year!! Spotifyが贈る、2021年の総括 & 未来へ繋ぐ100曲。*SPICE連動記事は<a href=""https://spice.eplus.jp/articles/297145"">こちら</a>",37i9dQZF1DWZziOS7Z02dY,pop
128,softly,songs that will live rent free in your head ~ cover: Rex Orange County,37i9dQZF1DX8OCw6EqwHPA,pop
129,songs to scream in the car,the mood is to scream into your dashboard/choke back tears in the parking lot,37i9dQZF1DX4mWCZw6qYIw,pop
130,internet rewind,"Viral classics. Yep, we're at that stage.",37i9dQZF1DWSPMbB1kcXmo,pop
131,POP LIFE: 2021年を象徴する100曲をトークと共に,"Spotifyオリジナル<a href=""spotify:show:7nEkNCcSn3m6FyTVXfCQeP"">「POP LIFE:The Podcast」</a>と併せて、過去と未来を繋ぐ「今この瞬間」の体験をあなたに",37i9dQZF1DX9ZSuA4m7huF,pop
132,Go Stream  - Spotify Japan 5周年記念プレイリスト  - ,"2016年11月10日にサービスを開始して以来、おかげさまでSpotify Japanは<a href=""https://youtu.be/FZNLVmLpjmI"">5周年</a>を迎えることができました。感謝の意を込めて、5年間のTop 100 Songsをプレイリストにしました。<a href=""https://youtu.be/FZNLVmLpjmI"">#SpotifyGoStream</a>",37i9dQZF1DX1wqG1dI77FI,pop
133,RADAR Global,From across the globe. New artists on the horizon. ,37i9dQZF1DWTU63finroJM,pop
134,アジア都市音楽ディスクガイド Asian City Music Disc Guide,"Based on the Book <a href=""https://diskunion.net/dubooks/ct/detail/DUBK317"">""Asian City Music Disc Guide"" (Tokyo: DU BOOKS). </a> City Pop,K-Pop,AOR,R&B...",37i9dQZF1DWUYqOHKAREHh,pop
135,Pop Covers,Reimagined pop covers of your favorite songs.  Cover: Niall Horan,37i9dQZF1DX2i24iHGhL24,pop
136,Our Generation,":)
art: rex orange county + @doolittleillustrations",37i9dQZF1DX2Z1pVUBGGZs,pop
137,African Heat,"The tracks heating up the continent right now! Cover: <a href=""https://open.spotify.com/artist/75VKfyoBlkmrJFDqo1o2VY?si=5Z7nU1NlSleLiz1BSOb7Dw""> Fireboy DML </a>  ",37i9dQZF1DWYkaDif7Ztbp,pop
138,Afropop,"The hottest Afropop records on the planet.  Cover: <a href=""https://open.spotify.com/artist/2IK173RXLiCSQ8fhDlAb3s?si=oyl_2bWbSGeefiJWJl57HA""> Adekunle Gold </a>   ",37i9dQZF1DWYs2pvwxWA7l,pop
139,Internet People,The soundtrack to the Internet. Cover: Coco & Clair Clair,37i9dQZF1DX6OgmB2fwLGd,pop
140,All A Cappella,"Your favorite a cappella music from Pentatonix, the Glee cast, Pitch Perfect, and more. Just sing it! Cover: Pentatonix",37i9dQZF1DX3HYlktiFpE6,pop
141,ノット・オーケー/I Am Not Okay with This,Netflixオリジナルシリーズ『ノット・オーケー』プレイリスト 本編使用楽曲 | Music from Netflix Original Series “I Am Not Okay with This”,37i9dQZF1DX56ifEUK4m3i,pop
142,Young Nashville,Music from Nashville's emerging Singers and Songwriters across the musical spectrum.  Cover: Leah Marie Mason,37i9dQZF1DWTvM9hRJYH10,pop
143,Radar India,Most exciting artists from the Indian Indie scene. Cover : Shadow and Light,37i9dQZF1DWTAtTdFMiJYK,pop
144,せきらら,"綺麗事は聞きたくない。本音でつづられた新世代の歌。Illustration by <a href=""https://twitter.com/hoshieri7"">北村英理</a>(Eri Kitamura)",37i9dQZF1DX5Q8nvtZqrFa,mood
145,Winter is Here #真冬のサントラ,寒い季節がやってきました。そんな凍える日々を少しだけ暖めるような冬の名曲たちを一つのプレイリストに。,37i9dQZF1DWTZMm3WdVVwc,mood
146,元気Booster,今日1日を、元気に迎えるためのプレイリスト！,37i9dQZF1DX6UkADhBpEnE,mood
147,Mid Tempo Magic,爽やかな1日を、スロー〜ミッドテンポな音楽と共に心地よくスタートしませんか？？,37i9dQZF1DWSCRpjXigf8o,mood
148,恋するプレイリスト,"恋しているあなたの気持ちに寄り添う、素敵なラブソングを集めました。Illustration by <a href=""https://twitter.com/hoshieri7"">北村英理</a>(Eri Kitamura)",37i9dQZF1DX328xs24cFGI,mood
149,夕方ジェネレーション,"理由のない焦り、苛立ち。わけもなく叫びたくなる。思春期を過ごす全てのティーンに贈る、帰り道の応援歌。Illustration by <a href=""https://twitter.com/hoshieri7"">北村英理</a>(Eri Kitamura)",37i9dQZF1DXdxPR0maUKqu,mood
150,都会の空と音楽と,都会の空を見上げると聴こえてくる音楽。 cover painting: 永井博,37i9dQZF1DWTbkKlc06FmH,mood
151,ガールズ・ナイト,"ホームパーティーを楽しむためのプレイリスト。女子会、ガールズナイトのお供に。

",37i9dQZF1DWXX3HHYIWJwh,mood
152,ストロボ,"ストロボライトのように光り輝く楽曲で、今日という日をスタートしよう。 Cover art painted by <a href=""spotify:artist:2IUl3m1H1EQ7QfNbNWvgru"">Vaundy</a>",37i9dQZF1DX6xaI1AkwmFi,mood
153,メランコリー - Ballads in Blue-,悲しい気持ち。せつない気持ち。J-Trackの極上バラードを一つのプレイリストに。,37i9dQZF1DX8uXskvQ4xo7,mood
154,JUICE,乾いた喉を潤す、フレッシュで(ヒップ)ポップな新時代のVibesを。,37i9dQZF1DXajjAvBz0cPm,mood
